dataset,tuning,metric,model,error_rate,bias
german,True,demographic_parity,Fair-SMOTE_tuned,30.199900000000003,8.7254
german,True,demographic_parity,FairSSL-CT_tuned,38.6667,4.089700000000001
german,True,demographic_parity,FairSSL-LP_tuned,38.6,4.1921
german,True,demographic_parity,FairSSL-LS_tuned,40.4667,3.8623
german,True,demographic_parity,FairSSL-ST_tuned,35.533300000000004,3.4391
german,True,demographic_parity,LTDD_tuned,22.4,7.038399999999999
german,True,demographic_parity,PrejudiceRemover_tuned,21.6001,4.6385
german,True,demographic_parity,SquaredDifferenceFairLogistic_tuned,21.6,2.3749
german,True,demographic_parity,FairnessConstraintModel_tuned,21.8001,3.1573
german,True,demographic_parity,DisparateMistreatmentModel_tuned,21.8,1.3372
german,True,demographic_parity,ConvexFrameworkModel_tuned,22.0,3.0621
german,True,demographic_parity,HSICLinearRegression_tuned,22.3333,3.3686
german,True,demographic_parity,GerryFairClassifier_tuned,22.5333,2.3763
german,True,demographic_parity,AdversarialDebiasing_tuned,20.9334,1.7564000000000002
german,True,demographic_parity,ExponentiatedGradientReduction_tuned,21.4666,1.2928000000000002
german,True,demographic_parity,GridSearchReduction_tuned,21.6,2.7472000000000003
german,True,demographic_parity,MetaFairClassifier_tuned,22.0667,2.5383
german,True,demographic_parity,AdaFair_tuned,28.7333,0.2358
german,True,demographic_parity,FAGTB_tuned,22.1333,0.0
german,True,demographic_parity,HGR_tuned,21.8667,0.2573
german,True,demographic_parity,FairDummies_tuned,21.2,0.6153
german,True,demographic_parity,GeneralFairERM_tuned,44.5334,7.583
german,True,demographic_parity,MultiAdversarialDebiasing_tuned,22.1333,0.0
german,True,demographic_parity,FairGeneralizedLinearModel_tuned,21.4667,0.1244
german,True,demographic_parity,GradualCompatibility_tuned,20.6667,0.2289999999999999
german,True,demographic_parity,RejectOptionClassification_tuned,30.9999,8.7455
german,True,demographic_parity,EqOddsPostprocessing_tuned,35.800000000000004,2.3047
german,True,demographic_parity,CalibratedEqOddsPostprocessing_tuned,22.4001,8.6441
german,True,demographic_parity,JiangNachum_tuned,21.7999,1.2307
german,True,demographic_parity,DPAbstention_tuned,22.8667,3.2694
german,True,demographic_parity,FaX_tuned,22.200100000000003,5.6115
german,True,demographic_parity,FairBayesDPP_tuned,22.466700000000003,2.7791
german,True,demographic_parity,GetFair_tuned,22.6,3.5016
implicit10,True,demographic_parity,Reweighing_tuned,29.49140000000001,8.400099999999998
implicit10,True,demographic_parity,LFR_tuned,30.0524,1.5482000000000002
implicit10,True,demographic_parity,DisparateImpactRemover_tuned,29.008000000000003,20.8805
implicit10,True,demographic_parity,Fair-SMOTE_tuned,29.6055,8.3909
implicit10,True,demographic_parity,FairSSL-CT_tuned,30.2394,1.3891
implicit10,True,demographic_parity,FairSSL-LP_tuned,29.9384,3.9198
implicit10,True,demographic_parity,FairSSL-LS_tuned,29.9704,3.0059
implicit10,True,demographic_parity,FairSSL-ST_tuned,29.9201,3.9665
implicit10,True,demographic_parity,LTDD_tuned,30.1346,1.339
implicit10,True,demographic_parity,PrejudiceRemover_tuned,29.582700000000003,11.71
implicit10,True,demographic_parity,SquaredDifferenceFairLogistic_tuned,29.847300000000004,11.9381
implicit10,True,demographic_parity,FairnessConstraintModel_tuned,34.0799,2.7185
implicit10,True,demographic_parity,DisparateMistreatmentModel_tuned,29.3547,14.1465
implicit10,True,demographic_parity,ConvexFrameworkModel_tuned,34.417300000000004,10.7342
implicit10,True,demographic_parity,HSICLinearRegression_tuned,31.9909,7.5587
implicit10,True,demographic_parity,GerryFairClassifier_tuned,42.5405,5.98
implicit10,True,demographic_parity,AdversarialDebiasing_tuned,29.9749,3.028
implicit10,True,demographic_parity,ExponentiatedGradientReduction_tuned,30.1162,1.3711000000000002
implicit10,True,demographic_parity,GridSearchReduction_tuned,36.3421,8.2156
implicit10,True,demographic_parity,MetaFairClassifier_tuned,30.203,10.0433
implicit10,True,demographic_parity,AdaFair_tuned,37.382000000000005,10.6336
implicit10,True,demographic_parity,FAGTB_tuned,33.4139,3.2889
implicit10,True,demographic_parity,HGR_tuned,32.0729,3.9078
implicit10,True,demographic_parity,FairDummies_tuned,38.5451,2.1221
implicit10,True,demographic_parity,GeneralFairERM_tuned,39.3888,4.2224
implicit10,True,demographic_parity,MultiAdversarialDebiasing_tuned,32.597500000000004,2.6628000000000003
