,metric,binary,ignore,dataset,model,error_rate,global
64,demographic_parity,False,False,adult_data_set,FairSSL-LP,29.117498009121846,19.76578444525587
65,demographic_parity,False,False,adult_data_set,FairSSL-LS,28.63968725114023,19.6913661373706
66,demographic_parity,False,False,adult_data_set,FairSSL-ST,27.691305292116127,17.739779828112713
67,demographic_parity,False,False,adult_data_set,GerryFairClassifier,23.608195178455077,1.6360760815327304
68,demographic_parity,False,False,adult_data_set,ExponentiatedGradientReduction,21.979294867154124,1.378471843959054
69,demographic_parity,False,False,adult_data_set,GridSearchReduction,28.893071744009262,37.16668433163352
70,demographic_parity,False,False,adult_data_set,JiangNachum,23.456164482733655,0.5684282120860764
71,demographic_parity,False,False,adult_data_set,DPAbstention,24.70136827626149,0.090520701464245
72,equalized_odds,True,True,compas,Fair-SMOTE,33.09935205183585,9.7041105213928
73,equalized_odds,True,True,compas,FairSSL-CT,33.477321814254864,10.368015511383804
74,equalized_odds,True,True,compas,FairSSL-LP,33.74730021598273,11.039380702489913
75,equalized_odds,True,True,compas,FairSSL-LS,33.69330453563714,11.0641822897915
76,equalized_odds,True,True,compas,FairSSL-ST,34.01727861771059,9.797314941685888
77,equalized_odds,True,True,compas,ExponentiatedGradientReduction,45.41036717062635,0.9028712437892572
78,equalized_odds,True,True,compas,GridSearchReduction,44.81641468682505,1.671215942385292
79,equalized_odds,True,True,compas,JiangNachum,36.933045356371494,9.376331332296235
80,equalized_odds,True,False,compas,Fair-SMOTE,32.66738660907127,7.313039289849771
81,equalized_odds,True,False,compas,FairSSL-CT,34.23326133909288,6.427922284518667
82,equalized_odds,True,False,compas,FairSSL-LP,32.55939524838013,7.55258196933818
83,equalized_odds,True,False,compas,FairSSL-LS,33.261339092872575,8.146535626423095
84,equalized_odds,True,False,compas,FairSSL-ST,34.34125269978402,8.279453548224831
85,equalized_odds,True,False,compas,GerryFairClassifier,53.40172786177105,0.0
86,equalized_odds,True,False,compas,ExponentiatedGradientReduction,33.8012958963283,6.626574462423831
87,equalized_odds,True,False,compas,GridSearchReduction,31.749460043196535,8.582794202035224
88,equalized_odds,True,False,compas,JiangNachum,32.61339092872569,6.074660131744035
89,equalized_odds,True,False,compas,DPAbstention,38.66090712742981,4.448926061676597
90,equalized_odds,False,True,compas,Fair-SMOTE,32.991360691144706,9.926332521900738
91,equalized_odds,False,True,compas,FairSSL-CT,32.991360691144706,10.620168529562031
92,equalized_odds,False,True,compas,FairSSL-LP,32.181425485961114,9.605019472040109
93,equalized_odds,False,True,compas,FairSSL-LS,33.31533477321814,10.620176428221937
94,equalized_odds,False,True,compas,FairSSL-ST,33.90928725701943,10.903904355886937
95,equalized_odds,False,True,compas,ExponentiatedGradientReduction,44.600431965442766,1.3658373903773753
96,equalized_odds,False,True,compas,GridSearchReduction,31.749460043196535,8.582794202035224
97,equalized_odds,False,True,compas,JiangNachum,44.76241900647948,1.522830227471397
98,equalized_odds,False,False,compas,Fair-SMOTE,32.93736501079914,10.322080788501758
99,equalized_odds,False,False,compas,FairSSL-CT,33.36933045356372,5.797207520672336
100,equalized_odds,False,False,compas,FairSSL-LP,32.45140388768898,4.6818427839608265
101,equalized_odds,False,False,compas,FairSSL-LS,32.883369330453576,5.623600990030401
102,equalized_odds,False,False,compas,FairSSL-ST,33.477321814254864,7.217267610968904
103,equalized_odds,False,False,compas,GerryFairClassifier,53.40172786177105,0.0
104,equalized_odds,False,False,compas,ExponentiatedGradientReduction,36.01511879049676,2.7604976952303537
105,equalized_odds,False,False,compas,GridSearchReduction,32.34341252699784,14.306422479344254
106,equalized_odds,False,False,compas,JiangNachum,33.96328293736501,1.3179074913327566
107,equalized_odds,False,False,compas,DPAbstention,39.36285097192225,6.633100896220235
108,equalized_odds,True,True,adult_data_set,Fair-SMOTE,28.11843915152393,3.2579266395434203
109,equalized_odds,True,True,adult_data_set,FairSSL-CT,37.85564323463404,6.407434397057093
110,equalized_odds,True,True,adult_data_set,FairSSL-LP,33.71461666546007,3.1919717960320155
111,equalized_odds,True,True,adult_data_set,FairSSL-LS,33.47571128646928,3.3233475057379875
112,equalized_odds,True,True,adult_data_set,FairSSL-ST,33.31644103380873,3.742902749221991
113,equalized_odds,True,True,adult_data_set,ExponentiatedGradientReduction,21.32773474263375,2.377846256178909
114,equalized_odds,True,True,adult_data_set,GridSearchReduction,22.124086005936434,1.639857220631425
115,equalized_odds,True,True,adult_data_set,JiangNachum,23.557518279881265,1.144383825728344
116,equalized_odds,True,False,adult_data_set,Fair-SMOTE,27.995366683558956,1.8443652095140108
117,equalized_odds,True,False,adult_data_set,FairSSL-CT,37.94251791790342,5.428772295831543
118,equalized_odds,True,False,adult_data_set,FairSSL-LP,35.21320495185694,1.694987703371572
119,equalized_odds,True,False,adult_data_set,FairSSL-LS,34.1996669803808,1.8458183226456988
120,equalized_odds,True,False,adult_data_set,FairSSL-ST,33.526388185043075,2.5984506455084246
121,equalized_odds,True,False,adult_data_set,GerryFairClassifier,23.716788532541813,2.404295259157635
122,equalized_odds,True,False,adult_data_set,ExponentiatedGradientReduction,21.081589806703832,2.316415528654718
