,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
71,demographic_parity,implicit30,FairSSL-LS,2.0486,-23.6773,-10.8143
72,demographic_parity,implicit30,FairSSL-CT,1.6659,-23.6916,-11.0129
73,demographic_parity,implicit30,FairSSL-LP,0.9905,-20.7328,-9.8711
74,demographic_parity,implicit30,FairSSL-ST,1.8235,-21.1333,-9.6549
75,demographic_parity,implicit30,GridSearchReduction,-2.5889,-8.1723,-5.3806
76,demographic_parity,implicit30,ExponentiatedGradientReduction,-5.7857,-0.6177,-3.2017
77,demographic_parity,implicit30,FAGTB,-3.1067,-9.2746,-6.1907
78,demographic_parity,implicit30,RejectOptionClassification,0.5403,-2.3289,-0.8943
79,demographic_parity,implicit30,EqOddsPostprocessing,-0.968,0.8105,-0.0788
80,demographic_parity,implicit30,CalibratedEqOddsPostprocessing,0.5403,0.9891,0.7647
81,demographic_parity,implicit30,JiangNachum,-5.538,-8.1236,-6.8308
82,demographic_parity,implicit40,Reweighing,-0.7044,0.4846,-0.1099
83,demographic_parity,implicit40,Fair-SMOTE,-2.1586,8.8617,3.3516
84,demographic_parity,implicit40,FairSSL-LS,0.7726,-12.6322,-5.9298
85,demographic_parity,implicit40,FairSSL-CT,2.5676,-14.8474,-6.1399
86,demographic_parity,implicit40,FairSSL-LP,0.5226,-8.775,-4.1262
87,demographic_parity,implicit40,FairSSL-ST,0.5453,-5.1731,-2.3139
88,demographic_parity,implicit40,GridSearchReduction,-0.5908,-0.6512,-0.621
89,demographic_parity,implicit40,ExponentiatedGradientReduction,-2.1359,1.5404,-0.2977
90,demographic_parity,implicit40,FAGTB,-5.5215,-6.1931,-5.8573
91,demographic_parity,implicit40,RejectOptionClassification,-0.9771,-0.2026,-0.5898
92,demographic_parity,implicit40,EqOddsPostprocessing,0.5226,-0.4566,0.033
93,demographic_parity,implicit40,CalibratedEqOddsPostprocessing,0.1591,0.5845,0.3718
94,demographic_parity,implicit40,JiangNachum,-5.4079,0.8035,-2.3022
95,demographic_parity,implicit50,LFR,16.0364,-32.8636,-8.4136
96,demographic_parity,implicit50,Reweighing,2.7563,-16.7215,-6.9826
97,demographic_parity,implicit50,Fair-SMOTE,3.4852,-20.1862,-8.3505
98,demographic_parity,implicit50,FairSSL-LS,4.123,-21.1847,-8.5309
99,demographic_parity,implicit50,FairSSL-CT,3.2574,-20.1638,-8.4532
100,demographic_parity,implicit50,FairSSL-LP,2.7335,-14.7603,-6.0134
101,demographic_parity,implicit50,FairSSL-ST,6.6059,-29.5255,-11.4598
102,demographic_parity,implicit50,GridSearchReduction,-0.615,0.1384,-0.2383
103,demographic_parity,implicit50,ExponentiatedGradientReduction,-2.2551,-0.7702,-1.5127
104,demographic_parity,implicit50,FAGTB,0.3872,1.224,0.8056
105,demographic_parity,implicit50,RejectOptionClassification,-0.4328,2.2717,0.9194
106,demographic_parity,implicit50,EqOddsPostprocessing,2.8018,-2.022,0.3899
107,demographic_parity,implicit50,CalibratedEqOddsPostprocessing,-0.2961,-5.5008,-2.8985
108,demographic_parity,implicit50,JiangNachum,-6.0592,1.236,-2.4116
109,demographic_parity,social10,LFR,0.5285,-1.1852,-0.3284
110,demographic_parity,social10,Reweighing,-0.7583,7.3918,3.3168
111,demographic_parity,social10,Fair-SMOTE,-0.6664,6.0163,2.675
