,metric,ignore,dataset,model,error_rate,global
0,demographic_parity,True,german,Reweighing,21.333333333333343,4.963633335184059
1,demographic_parity,True,german,Fair-SMOTE,29.666666666666657,6.212869912831054
2,demographic_parity,True,german,FairSSL-LS,37.66666666666667,4.65826439398146
3,demographic_parity,True,german,FairSSL-CT,37.0,3.4923102548442664
4,demographic_parity,True,german,FairSSL-LP,34.0,2.920437510410301
5,demographic_parity,True,german,FairSSL-ST,34.66666666666667,2.254178002331908
6,demographic_parity,True,german,GridSearchReduction,22.0,3.2979845649880657
7,demographic_parity,True,german,ExponentiatedGradientReduction,21.66666666666667,2.83715507190051
8,demographic_parity,True,german,FAGTB,22.333333333333343,6.135139636888565
9,demographic_parity,True,german,RejectOptionClassification,38.33333333333333,5.046915773693861
10,demographic_parity,True,german,EqOddsPostprocessing,21.66666666666667,2.2708344900338684
11,demographic_parity,True,german,CalibratedEqOddsPostprocessing,20.0,0.0
12,demographic_parity,True,german,JiangNachum,22.0,2.376325578812944
13,demographic_parity,False,german,LFR,20.0,0.0
14,demographic_parity,False,german,Reweighing,21.333333333333343,4.963633335184059
15,demographic_parity,False,german,Fair-SMOTE,29.666666666666657,6.212869912831054
16,demographic_parity,False,german,FairSSL-LS,37.66666666666667,4.302925989672978
17,demographic_parity,False,german,FairSSL-CT,39.33333333333333,1.3658319915607064
18,demographic_parity,False,german,FairSSL-LP,36.0,1.6101271445227885
19,demographic_parity,False,german,FairSSL-ST,33.33333333333334,3.664427294431183
20,demographic_parity,False,german,GridSearchReduction,22.0,3.2979845649880657
21,demographic_parity,False,german,ExponentiatedGradientReduction,22.0,3.2979845649880657
22,demographic_parity,False,german,FAGTB,22.333333333333343,4.291821664538331
23,demographic_parity,False,german,RejectOptionClassification,38.0,9.549719615790352
24,demographic_parity,False,german,EqOddsPostprocessing,20.66666666666667,2.942646160679585
25,demographic_parity,False,german,CalibratedEqOddsPostprocessing,20.333333333333343,8.433734939759042
26,demographic_parity,False,german,JiangNachum,21.66666666666667,3.581144855921381
27,demographic_parity,True,communities,Reweighing,16.193656093489153,34.59420289855073
28,demographic_parity,True,communities,Fair-SMOTE,15.859766277128557,37.92196209587513
29,demographic_parity,True,communities,FairSSL-LS,22.370617696160267,27.546265328874032
30,demographic_parity,True,communities,FairSSL-CT,20.701168614357258,30.24972129319956
31,demographic_parity,True,communities,FairSSL-LP,20.36727879799666,30.8907469342252
32,demographic_parity,True,communities,FairSSL-ST,19.36560934891486,33.569676700111486
33,demographic_parity,True,communities,GridSearchReduction,21.368948247078464,12.254180602006686
34,demographic_parity,True,communities,ExponentiatedGradientReduction,27.879799666110188,0.7536231884057942
35,demographic_parity,True,communities,FAGTB,17.529215358931552,33.27870680044593
36,demographic_parity,True,communities,RejectOptionClassification,56.92821368948247,7.0234113712374535
37,demographic_parity,True,communities,EqOddsPostprocessing,25.542570951585972,14.55852842809364
38,demographic_parity,True,communities,CalibratedEqOddsPostprocessing,17.195325542570956,56.64214046822742
39,demographic_parity,True,communities,JiangNachum,29.716193656093495,2.9609810479375693
40,demographic_parity,False,communities,LFR,39.56594323873121,0.0
41,demographic_parity,False,communities,Reweighing,17.028380634390643,23.581939799331103
42,demographic_parity,False,communities,Fair-SMOTE,17.529215358931552,24.569676700111483
43,demographic_parity,False,communities,FairSSL-LS,25.87646076794657,6.517279821627647
44,demographic_parity,False,communities,FairSSL-CT,22.20367278797997,14.56410256410256
45,demographic_parity,False,communities,FairSSL-LP,24.87479131886478,10.5273132664437
46,demographic_parity,False,communities,FairSSL-ST,22.20367278797997,14.54292084726868
47,demographic_parity,False,communities,GridSearchReduction,16.52754590984975,27.92865105908584
48,demographic_parity,False,communities,ExponentiatedGradientReduction,23.70617696160268,1.5529542920847297
49,demographic_parity,False,communities,FAGTB,18.864774624373965,29.940914158305464
50,demographic_parity,False,communities,RejectOptionClassification,35.89315525876461,6.665551839464884
51,demographic_parity,False,communities,EqOddsPostprocessing,28.046744574290486,14.243032329988852
52,demographic_parity,False,communities,CalibratedEqOddsPostprocessing,17.195325542570956,60.64882943143813
53,demographic_parity,False,communities,JiangNachum,30.05008347245409,2.3812709030100327
54,demographic_parity,True,compas_race,LFR,52.213822894168466,10.828214695575108
55,demographic_parity,True,compas_race,Reweighing,32.23542116630669,24.171064195914703
56,demographic_parity,True,compas_race,Fair-SMOTE,32.93736501079914,24.35584054750009
57,demographic_parity,True,compas_race,FairSSL-LS,33.36933045356372,25.03651767455449
58,demographic_parity,True,compas_race,FairSSL-CT,33.4233261339093,24.5615721891252
59,demographic_parity,True,compas_race,FairSSL-LP,33.4233261339093,24.52483879834971
60,demographic_parity,True,compas_race,FairSSL-ST,34.3952483801296,25.849459661683
61,demographic_parity,True,compas_race,GridSearchReduction,34.50323974082073,18.240717114678443
62,demographic_parity,True,compas_race,ExponentiatedGradientReduction,45.24838012958964,0.8644673473437919
63,demographic_parity,True,compas_race,FAGTB,34.665226781857456,19.618958867230983
64,demographic_parity,True,compas_race,RejectOptionClassification,43.95248380129589,4.991426821045521
65,demographic_parity,True,compas_race,EqOddsPostprocessing,38.12095032397408,3.843323459693732
66,demographic_parity,True,compas_race,CalibratedEqOddsPostprocessing,32.07343412526998,24.98449924869122
67,demographic_parity,True,compas_race,JiangNachum,45.8963282937365,0.9803377746221577
68,demographic_parity,False,compas_race,LFR,46.65226781857451,0.3363940383432502
69,demographic_parity,False,compas_race,Reweighing,31.749460043196535,9.187415485466277
70,demographic_parity,False,compas_race,Fair-SMOTE,32.66738660907127,8.259589202355377
71,demographic_parity,False,compas_race,FairSSL-LS,32.61339092872571,9.362207257679806
72,demographic_parity,False,compas_race,FairSSL-CT,32.88336933045356,4.223846873532361
73,demographic_parity,False,compas_race,FairSSL-LP,32.39740820734342,6.692010240973506
74,demographic_parity,False,compas_race,FairSSL-ST,33.639308855291574,9.551667732921128
75,demographic_parity,False,compas_race,GridSearchReduction,32.34341252699784,25.557071732423136
76,demographic_parity,False,compas_race,ExponentiatedGradientReduction,32.50539956803455,2.921783763594743
77,demographic_parity,False,compas_race,FAGTB,33.26133909287256,6.154075619013105
78,demographic_parity,False,compas_race,RejectOptionClassification,43.95248380129589,5.166711658907046
79,demographic_parity,False,compas_race,EqOddsPostprocessing,37.90496760259179,3.538362356410035
80,demographic_parity,False,compas_race,CalibratedEqOddsPostprocessing,32.18142548596113,29.23645086415918
81,demographic_parity,False,compas_race,JiangNachum,35.58315334773218,0.2790751567640581
82,demographic_parity,True,implicit10,LFR,51.220068415051315,4.426511136176692
83,demographic_parity,True,implicit10,Reweighing,28.734321550741157,18.55433782696955
84,demographic_parity,True,implicit10,Fair-SMOTE,28.711516533637408,19.32557594780553
85,demographic_parity,True,implicit10,FairSSL-LS,28.80273660205245,18.04759196379572
86,demographic_parity,True,implicit10,FairSSL-CT,29.53249714937286,21.83479905952761
87,demographic_parity,True,implicit10,FairSSL-LP,29.05359179019385,16.176445501988162
88,demographic_parity,True,implicit10,FairSSL-ST,29.076396807297613,25.345801679486318
89,demographic_parity,True,implicit10,GridSearchReduction,28.893956670467503,17.86689511386231
90,demographic_parity,True,implicit10,ExponentiatedGradientReduction,31.44811858608894,3.5441421642764483
91,demographic_parity,True,implicit10,FAGTB,38.44925883694412,4.534771141593852
92,demographic_parity,True,implicit10,RejectOptionClassification,29.555302166476622,7.121943953603804
93,demographic_parity,True,implicit10,EqOddsPostprocessing,32.93044469783352,5.5846269128049295
94,demographic_parity,True,implicit10,CalibratedEqOddsPostprocessing,29.623717217787913,24.073060109266887
95,demographic_parity,True,implicit10,JiangNachum,39.52109464082098,0.1206171236373371
96,demographic_parity,False,implicit10,LFR,48.59749144811859,0.0
