,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
66,demographic_parity,implicit20,RejectOptionClassification_tuned,-0.1361,-0.2706,-0.2034
67,demographic_parity,implicit20,EqOddsPostprocessing_tuned,-0.4991,-0.3598,-0.4294
68,demographic_parity,implicit20,CalibratedEqOddsPostprocessing_tuned,0.3176,7.6921,4.0049
69,demographic_parity,implicit20,JiangNachum_tuned,-0.0454,0.3384,0.1465
70,demographic_parity,implicit30,LFR_tuned,-0.6529,0.8931,0.1201
71,demographic_parity,implicit30,Reweighing_tuned,0.7429,-16.4388,-7.8479
72,demographic_parity,implicit30,Fair-SMOTE_tuned,0.1351,0.092,0.1136
73,demographic_parity,implicit30,FairSSL-LS_tuned,0.0,-0.0019,-0.001
74,demographic_parity,implicit30,FairSSL-CT_tuned,-0.1801,2.2211,1.0205
75,demographic_parity,implicit30,FairSSL-LP_tuned,-0.1351,0.5405,0.2027
76,demographic_parity,implicit30,FairSSL-ST_tuned,0.045,-0.3448,-0.1499
77,demographic_parity,implicit30,GridSearchReduction_tuned,0.0,0.0,0.0
78,demographic_parity,implicit30,ExponentiatedGradientReduction_tuned,0.4052,0.0584,0.2318
79,demographic_parity,implicit30,FAGTB_tuned,2.4989,-10.4781,-3.9896
80,demographic_parity,implicit30,RejectOptionClassification_tuned,-0.3827,1.7673,0.6923
81,demographic_parity,implicit30,EqOddsPostprocessing_tuned,-2.0486,1.0775,-0.4855
82,demographic_parity,implicit30,CalibratedEqOddsPostprocessing_tuned,0.3602,-2.5732,-1.1065
83,demographic_parity,implicit30,JiangNachum_tuned,-5.538,-8.1236,-6.8308
84,demographic_parity,implicit40,LFR_tuned,3.272,-3.8272,-0.2776
85,demographic_parity,implicit40,Reweighing_tuned,-0.7044,0.4846,-0.1099
86,demographic_parity,implicit40,Fair-SMOTE_tuned,-0.0682,0.4099,0.1709
87,demographic_parity,implicit40,FairSSL-LS_tuned,0.0,0.1812,0.0906
88,demographic_parity,implicit40,FairSSL-CT_tuned,-0.0227,-0.4954,-0.2591
89,demographic_parity,implicit40,FairSSL-LP_tuned,-0.0454,0.1824,0.0685
90,demographic_parity,implicit40,FairSSL-ST_tuned,-0.1363,-0.4551,-0.2957
91,demographic_parity,implicit40,GridSearchReduction_tuned,0.0,0.0,0.0
92,demographic_parity,implicit40,ExponentiatedGradientReduction_tuned,-0.8634,1.1033,0.1199
