,metric,binary,ignore,dataset,model,error_rate,global
59,demographic_parity,False,True,adult_data_set,ExponentiatedGradientReduction_tuned,23.1448635343517,1.389984470044413
60,demographic_parity,False,True,adult_data_set,GridSearchReduction_tuned,23.12314486353435,5.429643879502951
61,demographic_parity,False,True,adult_data_set,JiangNachum_tuned,20.900600883225948,5.594731045888985
62,demographic_parity,False,False,adult_data_set,Fair-SMOTE_tuned,26.366466372258017,17.11220580974856
63,demographic_parity,False,False,adult_data_set,FairSSL-CT_tuned,24.57829580829653,1.0448811477832065
64,demographic_parity,False,False,adult_data_set,FairSSL-LP_tuned,28.820676174618114,19.60675939641012
65,demographic_parity,False,False,adult_data_set,FairSSL-LS_tuned,28.668645478896693,19.54487798537916
66,demographic_parity,False,False,adult_data_set,FairSSL-ST_tuned,27.640628393542315,18.613353407018423
67,demographic_parity,False,False,adult_data_set,GerryFairClassifier_tuned,24.69412871932238,0.053381234228558
68,demographic_parity,False,False,adult_data_set,ExponentiatedGradientReduction_tuned,22.370230941866353,1.2043797371719476
69,demographic_parity,False,False,adult_data_set,GridSearchReduction_tuned,28.893071744009262,37.16668433163352
70,demographic_parity,False,False,adult_data_set,JiangNachum_tuned,23.39824802722073,0.6055627175302274
71,demographic_parity,False,False,adult_data_set,DPAbstention_tuned,24.72308694707884,0.0
72,equalized_odds,True,True,compas,Fair-SMOTE_tuned,33.09935205183585,9.7041105213928
73,equalized_odds,True,True,compas,FairSSL-CT_tuned,33.69330453563714,10.32396340272794
74,equalized_odds,True,True,compas,FairSSL-LP_tuned,32.72138228941685,10.857701780688716
75,equalized_odds,True,True,compas,FairSSL-LS_tuned,33.261339092872575,10.331834891205682
76,equalized_odds,True,True,compas,FairSSL-ST_tuned,34.01727861771059,9.797314941685888
77,equalized_odds,True,True,compas,ExponentiatedGradientReduction_tuned,45.08639308855292,0.7966547006459367
78,equalized_odds,True,True,compas,GridSearchReduction_tuned,44.81641468682505,1.671215942385292
79,equalized_odds,True,True,compas,JiangNachum_tuned,32.23542116630669,9.027386825269335
80,equalized_odds,True,False,compas,Fair-SMOTE_tuned,32.66738660907127,7.297968679161554
81,equalized_odds,True,False,compas,FairSSL-CT_tuned,33.261339092872575,6.160584360320525
82,equalized_odds,True,False,compas,FairSSL-LP_tuned,33.09935205183585,8.16653953199998
83,equalized_odds,True,False,compas,FairSSL-LS_tuned,33.261339092872575,8.039078175778215
84,equalized_odds,True,False,compas,FairSSL-ST_tuned,34.34125269978402,8.425600324063252
85,equalized_odds,True,False,compas,GerryFairClassifier_tuned,32.28941684665227,8.750429950015247
86,equalized_odds,True,False,compas,ExponentiatedGradientReduction_tuned,32.93736501079914,6.026289374676662
87,equalized_odds,True,False,compas,GridSearchReduction_tuned,31.749460043196535,8.582794202035224
88,equalized_odds,True,False,compas,JiangNachum_tuned,32.55939524838013,6.023358116445126
89,equalized_odds,True,False,compas,DPAbstention_tuned,32.93736501079914,7.486620950287086
90,equalized_odds,False,True,compas,Fair-SMOTE_tuned,33.53131749460043,9.544222670783022
91,equalized_odds,False,True,compas,FairSSL-CT_tuned,32.61339092872569,9.740112658308242
92,equalized_odds,False,True,compas,FairSSL-LP_tuned,32.34341252699784,9.772725835892194
93,equalized_odds,False,True,compas,FairSSL-LS_tuned,32.23542116630669,9.507809928966946
94,equalized_odds,False,True,compas,FairSSL-ST_tuned,34.93520518358531,11.192394508535218
95,equalized_odds,False,True,compas,ExponentiatedGradientReduction_tuned,44.16846652267819,1.4855059811423943
96,equalized_odds,False,True,compas,GridSearchReduction_tuned,32.55939524838013,9.307374450711658
97,equalized_odds,False,True,compas,JiangNachum_tuned,33.74730021598273,8.92365882626944
98,equalized_odds,False,False,compas,Fair-SMOTE_tuned,32.72138228941685,10.7147884418437
99,equalized_odds,False,False,compas,FairSSL-CT_tuned,32.77537796976242,7.617748621481287
100,equalized_odds,False,False,compas,FairSSL-LP_tuned,31.965442764578825,3.82705467323708
101,equalized_odds,False,False,compas,FairSSL-LS_tuned,32.55939524838013,4.858465196669502
102,equalized_odds,False,False,compas,FairSSL-ST_tuned,33.477321814254864,7.119777105687391
103,equalized_odds,False,False,compas,GerryFairClassifier_tuned,33.639308855291574,16.11646054170073
104,equalized_odds,False,False,compas,ExponentiatedGradientReduction_tuned,34.5572354211663,1.7561858876801606
105,equalized_odds,False,False,compas,GridSearchReduction_tuned,32.34341252699784,14.306422479344254
106,equalized_odds,False,False,compas,JiangNachum_tuned,32.883369330453576,3.4845051189536624
107,equalized_odds,False,False,compas,DPAbstention_tuned,43.41252699784017,2.383449978230644
108,equalized_odds,True,True,adult_data_set,Fair-SMOTE_tuned,28.024324911315432,3.1528783528132696
109,equalized_odds,True,True,adult_data_set,FairSSL-CT_tuned,24.72308694707884,0.0
110,equalized_odds,True,True,adult_data_set,FairSSL-LP_tuned,33.504669514225725,3.5156408934301395
111,equalized_odds,True,True,adult_data_set,FairSSL-LS_tuned,33.75805400709477,3.0395959722447645
112,equalized_odds,True,True,adult_data_set,FairSSL-ST_tuned,33.34539926156519,3.7284553047032274
113,equalized_odds,True,True,adult_data_set,ExponentiatedGradientReduction_tuned,21.32049518569464,1.3753717015611986
114,equalized_odds,True,True,adult_data_set,GridSearchReduction_tuned,22.124086005936434,1.639857220631425
115,equalized_odds,True,True,adult_data_set,JiangNachum_tuned,23.39100847028162,1.169024044150472
